session_id,date,student_id,tutor_id,tutor_name,subject,duration_minutes,status,price_usd
1000,2026-07-13,S1074,T103,Ayesha Raza,Computer Science,60,completed,26.35
1001,2026-07-13,S1001,T105,Hina Malik,Chemistry,60,completed,21.25
1002,2026-07-13,S1057,T106,Zain Abbas,English,45,completed,17.4
1003,2026-07-13,S1187,T104,Omar Farooq,Chemistry,30,completed,12.9
1004,2026-07-13,S1063,T106,Zain Abbas,Physics,30,completed,12.79
1005,2026-07-13,S1131,T105,Hina Malik,Chemistry,60,completed,21.78
1006,2026-07-13,S1083,T106,Zain Abbas,Biology,60,completed,22.17
1007,2026-07-13,S1080,T104,Omar Farooq,Mathematics,30,completed,10.71
1008,2026-07-13,S1053,T104,Omar Farooq,Mathematics,45,completed,20.67
1009,2026-07-13,S1013,T102,Bilal Khan,Mathematics,60,cancelled,0.0
1010,2026-07-13,S1081,T106,Zain Abbas,English,30,completed,12.45
1011,2026-07-13,S1156,T102,Bilal Khan,Chemistry,90,completed,36.47
1012,2026-07-13,S1135,T101,Sarah Ahmed,Computer Science,30,completed,12.87
1013,2026-07-13,S1122,T103,Ayesha Raza,Mathematics,30,completed,15.24
1014,2026-07-13,S1161,T102,Bilal Khan,Mathematics,30,cancelled,0.0
1015,2026-07-13,S1034,T106,Zain Abbas,Mathematics,45,completed,21.49
1016,2026-07-13,S1141,T105,Hina Malik,Chemistry,90,completed,44.49
1017,2026-07-13,S1178,T101,Sarah Ahmed,Chemistry,60,completed,26.27
1018,2026-07-13,S1150,T101,Sarah Ahmed,Mathematics,45,completed,23.92
1019,2026-07-13,S1085,T103,Ayesha Raza,English,45,cancelled,0.0
1020,2026-07-13,S1027,T102,Bilal Khan,Computer Science,60,completed,31.46
1021,2026-07-13,S1091,T104,Omar Farooq,Mathematics,60,completed,30.69
1022,2026-07-13,S1115,T106,Zain Abbas,Physics,30,completed,13.06
1023,2026-07-13,S1164,T103,Ayesha Raza,Physics,30,completed,13.0
1024,2026-07-14,S1179,T104,Omar Farooq,Mathematics,45,completed,17.72
1025,2026-07-14,S1130,T101,Sarah Ahmed,Physics,45,completed,22.02
1026,2026-07-14,S1053,T101,Sarah Ahmed,Physics,90,completed,49.08
1027,2026-07-14,S1159,T101,Sarah Ahmed,Mathematics,60,completed,27.37
1028,2026-07-14,S1037,T104,Omar Farooq,English,30,completed,11.95
1029,2026-07-14,S1143,T104,Omar Farooq,Physics,90,completed,46.2
1030,2026-07-14,S1186,T104,Omar Farooq,Computer Science,60,completed,31.3
1031,2026-07-14,S1051,T102,Bilal Khan,Mathematics,60,completed,28.74
1032,2026-07-14,S1177,T102,Bilal Khan,Biology,60,completed,29.82
1033,2026-07-14,S1111,T106,Zain Abbas,Biology,60,completed,23.1
1034,2026-07-14,S1196,T104,Omar Farooq,English,45,no_show,0.0
1035,2026-07-14,S1130,T103,Ayesha Raza,Biology,30,completed,14.7
1036,2026-07-14,S1199,T106,Zain Abbas,Computer Science,60,completed,22.01
1037,2026-07-14,S1152,T104,Omar Farooq,Computer Science,60,completed,32.28
1038,2026-07-14,S1168,T106,Zain Abbas,Mathematics,60,completed,28.82
1039,2026-07-14,S1127,T104,Omar Farooq,Mathematics,45,completed,22.47
1040,2026-07-14,S1114,T103,Ayesha Raza,Computer Science,60,completed,22.12
1041,2026-07-14,S1181,T106,Zain Abbas,English,45,no_show,0.0
1042,2026-07-15,S1196,T102,Bilal Khan,English,45,completed,21.77
1043,2026-07-15,S1171,T103,Ayesha Raza,Mathematics,60,completed,21.52
